generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
54,3531.00,1368.40,1012.84,0.2500,0.3100,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
55,3531.00,1522.62,1091.12,0.2500,0.3200,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
56,3531.00,1568.09,1098.50,0.2500,0.3300,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
57,3531.00,1319.17,958.20,0.2500,0.3400,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
58,3531.00,1383.91,963.04,0.2500,0.3500,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
59,3531.00,1360.22,1002.01,0.2500,0.3600,-0.23478970048819947,-0.1920597062569656,-0.17739950768695695,-0.6043436925197317,0.8534649705161865,0.42490370113120746,-0.1779196090708043
60,4292.33,1400.03,1051.44,0.2500,0.3700,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
61,4292.33,1425.28,1059.62,0.2400,0.3600,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
62,4292.33,1420.55,1043.26,0.2300,0.3500,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
63,4292.33,1579.00,1174.60,0.2200,0.3400,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
64,4292.33,1585.71,1249.50,0.2100,0.3300,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
65,4292.33,1720.00,1448.54,0.2000,0.3200,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
66,4292.33,1798.08,1534.05,0.1900,0.3100,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
67,4292.33,1794.76,1512.24,0.1800,0.3000,-0.23478970048819947,-0.1920597062569656,-0.21369117678949917,-0.7212324032659004,0.6542464145896698,0.42490370113120746,-0.1779196090708043
